id,x,y,continent
Samp 1,111.220361497253,37.6597876213398,Asia
Samp 2,-75.8758430555463,55.8213941758067,North America
Samp 3,42.0124996919185,-69.2940960360591,Antarctica
Samp 4,164.058261970058,-88.088414390134,Antarctica
Samp 5,-155.563535615802,-87.4712543300892,Antarctica
Samp 6,28.8203782774508,-15.3704739077733,Africa
Samp 7,134.588435394689,47.8901825234447,Asia
Samp 8,-73.6769470665604,41.8835701031388,North America
Samp 9,46.799823353067,23.6684095793307,Asia
Samp 10,69.6680495794863,33.938131677528,Asia
Samp 11,112.844100259244,-85.5691289538363,Antarctica
Samp 12,69.6787877194583,60.267996245937,Asia
Samp 13,117.905323226005,28.1611905820537,Asia
Samp 14,11.8338179122657,-89.6916897657178,Antarctica
Samp 15,-133.152560647577,-89.3277810326729,Antarctica
Samp 16,-0.2819455973804,8.0509113671103,Africa
Samp 17,167.293573915958,-72.9888691426163,Antarctica
Samp 18,-77.7660903800279,35.8509737739385,North America
Samp 19,41.7127703782171,65.7308908955693,Europe
Samp 20,-65.8044973108917,-70.9521843334472,Antarctica
Samp 21,167.107548387721,67.6963778458877,Asia
Samp 22,-141.767607377842,-80.2235990086042,Antarctica
Samp 23,136.648003198206,64.1817811583926,Asia
Samp 24,54.1727288626134,-84.1870113800555,Antarctica
Samp 25,21.9360257405788,-26.4186330387961,Africa
Samp 26,-124.604441653937,63.148048875519,North America
Samp 27,-53.8320207595825,-85.2691971021632,Antarctica
Samp 28,11.2499869242311,-81.0155754702117,Antarctica
Samp 29,-41.2814926262945,-83.9326321580977,Antarctica
Samp 30,-171.419697599486,-87.9924015486138,Antarctica
Samp 31,-67.9401012975723,51.8826078006471,North America
Samp 32,43.2212995458394,62.0635903850402,Europe
Samp 33,37.7632538974285,-16.8115642866151,Africa
Samp 34,-110.207173470408,31.8972307136503,North America
Samp 35,59.3462083116174,-80.8754367551729,Antarctica
Samp 36,32.8575244545937,-76.7078817026321,Antarctica
Samp 37,-3.83563290350139,23.9868769319677,Africa
Samp 38,-94.7576814796776,-78.977033986102,Antarctica
Samp 39,64.2124334257096,55.1922166842259,Asia
Samp 40,-75.7527643628418,-74.4169664755388,Antarctica
Samp 41,167.323546428233,64.8372346287245,Asia
Samp 42,-83.856573170051,-76.95416414179,Antarctica
Samp 43,68.0318320915103,45.7103042921477,Asia
Samp 44,13.9178210590035,-3.14577719115303,Africa
Samp 45,-0.0692315865308046,28.4084937902013,Africa
Samp 46,10.4640783090144,-75.5773682222846,Antarctica
Samp 47,-8.03153190761805,19.5663641988545,Africa
Samp 48,110.910836337134,64.4411139659691,Asia
Samp 49,61.8989112228155,-82.8516744634094,Antarctica
