x,y,continent
73.7138882931322,52.6160627888256,Asia
-87.4646018631756,36.3894708942365,North America
112.29009241797,44.1279948386743,Asia
37.1654500253499,-3.06395200474799,Africa
98.9371874090284,-74.8743524204891,Antarctica
-65.9300880599767,66.9165276836112,North America
-127.338180178776,-84.4309184588613,Antarctica
126.596603281796,57.3766543088393,Europe
-76.1488299071789,49.3206738885474,North America
152.381272818893,68.5691982645045,Europe
142.629497610033,64.896975484564,Europe
100.108731966466,50.8662135744168,Asia
2.39456154406071,32.532252020581,Africa
23.436607690528,-17.9049012490735,Africa
-99.3772197235376,33.7916367940755,North America
130.90121883899,43.8174299321604,Asia
93.3271470945328,71.2169500535127,Europe
149.659552015364,64.5907777351823,Europe
143.050686148927,-69.9862191934103,Antarctica
-52.8924631420523,-87.0767813443899,Antarctica
127.122471984476,-17.7108041998884,Australia
-94.2593920882791,-81.6257547591384,Antarctica
144.974812120199,-27.9823053108625,Australia
-37.4580514524132,-82.7090569308324,Antarctica
103.628999367356,-3.67390586951841,Asia
118.46143794246,25.0551179534408,Asia
26.5595504175872,-29.6107478641813,Africa
-123.607494486496,-81.3061984732,Antarctica
-82.4327541980892,-77.3696724916514,Antarctica
-64.979421235621,46.022574244239,North America
52.9524981882423,-69.2760508606723,Antarctica
23.3120544534177,37.4925462270335,Europe
-25.2253082580864,81.2709510001257,Europe
-70.7361016888171,50.6349756215496,North America
128.621735377237,-87.4721892731887,Antarctica
-130.855067577213,-86.4501461333533,Antarctica
-110.085102282465,74.9701139218753,North America
97.7320118900388,20.6373817959059,Asia
32.5569797493517,28.0661484872937,Africa
-65.1754004415125,-19.3163067595101,South America
79.7098030988127,64.7643352376509,Europe
101.015534698963,42.9693680481173,Asia
-97.765053184703,23.4620212937784,South America
19.4931728672236,10.988160541199,Africa
107.560242041945,71.063834445335,Europe
-42.5906071811914,82.4476104670589,Europe
52.9568651597947,65.821690804169,Europe
-148.379422668368,-79.0376949958261,Antarctica
133.288856344298,71.0543726690026,Europe
34.7462486196309,19.2413806726781,Africa
25.9993102122098,-9.89183421955708,Africa
-63.0980300623924,-22.5962063521547,South America
-143.300679847598,68.191198416497,North America
99.9075436592102,56.0178170877333,Europe
-58.2331383414567,-35.3365841385675,South America
-88.446641061455,-84.4308867703258,Antarctica
-111.529825972393,38.4617126801843,North America
-55.4288233537227,-88.2302407614561,Antarctica
169.036403847858,-45.858498363662,Australia
47.1306083723903,-22.3690546440199,Africa
61.6073861159384,-83.0383585327414,Antarctica
145.459339516237,-18.2056019671898,Australia
-102.674550712109,37.5312810559658,North America
-39.9462198279798,82.6342386820267,Europe
-16.3912616763264,-75.3237768936112,Antarctica
-50.4229153320193,-13.9095077904559,South America
41.9612636324018,9.34798276122318,Africa
-104.534699544311,-85.5100116735861,Antarctica
40.9762019198388,35.0601841620918,Asia
105.36781411618,-80.4870595319427,Antarctica
-42.4188667628914,-6.04091445280194,South America
25.8960543014109,-32.0999945688394,Africa
-10.7973659131676,-76.4576329904238,Antarctica
160.397818218917,-79.3701166654881,Antarctica
