id,x,y,continent
Samp 1,-95.5891604907811,34.6574548224137,North America
Samp 2,14.2773476243019,-6.67819470791704,Africa
Samp 3,25.9606948681176,-73.6255767408377,Antarctica
Samp 4,135.570446681231,-4.39434401396412,Asia
Samp 5,107.809135699645,31.3876349084875,Asia
Samp 6,-82.3409978393465,37.0383938217576,North America
Samp 7,3.88928068801761,51.0321632792007,Europe
Samp 8,-69.6935790963471,68.335835711324,North America
Samp 9,17.37568795681,21.7211362669729,Africa
Samp 10,-58.5411589499563,-87.6450102654166,Antarctica
Samp 11,159.783856971189,-72.926167383665,Antarctica
Samp 12,99.8037920426577,-84.0667059667664,Antarctica
Samp 13,-115.840880591422,-89.3251924246077,Antarctica
Samp 14,96.6312643233687,-71.003850379405,Antarctica
Samp 15,78.3778134919703,23.3598916823698,Asia
Samp 16,-57.7799136657268,-35.3486470765964,South America
Samp 17,42.2723915800452,44.3317284241497,Europe
Samp 18,109.426824068651,53.5660084281714,Asia
Samp 19,130.172963133082,47.8167130685448,Asia
Samp 20,29.4516940880567,48.6444428422466,Europe
Samp 21,40.2764922939241,14.5777832752761,Africa
Samp 22,-61.3329135719687,78.6470423609133,North America
Samp 23,-71.3640224095434,69.3394913073699,North America
Samp 24,120.946691343561,-86.0740008272013,Antarctica
Samp 25,-24.1327117569745,-83.7265840496458,Antarctica
Samp 26,48.2252033706754,58.4712155957801,Europe
Samp 27,89.2919709160924,55.7185824331222,Asia
Samp 28,-101.00782125257,42.6646435666788,North America
Samp 29,-19.7139878198504,-78.9073205293463,Antarctica
Samp 30,23.5719630215317,-22.4894161253123,Africa
Samp 31,-11.6656662896276,14.4291846001928,Africa
Samp 32,70.9251111745834,-85.1379524701018,Antarctica
Samp 33,-47.6146930363029,74.9629726747237,North America
Samp 34,-67.4020659271628,-74.9159117765197,Antarctica
Samp 35,15.9938169736415,78.8292568818389,Europe
Samp 36,-86.4267135411501,53.7008867730736,North America
Samp 37,-139.984658388421,68.8599138154883,North America
Samp 38,144.467554762959,-36.8384032466387,Australia
Samp 39,22.2055704798549,17.1257612904676,Africa
Samp 40,84.9757745862007,67.3029282579805,Asia
Samp 41,14.548824140802,-86.1065631598899,Antarctica
Samp 42,44.825492715463,-84.4975030628739,Antarctica
Samp 43,73.7502147071064,71.3319218535581,Asia
Samp 44,107.696563554928,27.6062566820863,Asia
Samp 45,-60.898958304897,81.1813103946965,North America
Samp 46,60.8395227324218,56.5501074979648,Asia
Samp 47,76.7290327046067,60.0956221951742,Asia
Samp 48,89.0655021183193,54.6144996780187,Asia
Samp 49,33.990414692089,23.4110329727831,Africa
Samp 50,54.4478887226433,52.9534065174355,Europe
Samp 51,120.648006582633,-26.7547595615524,Australia
Samp 52,-125.408801855519,56.8625501670008,North America
Samp 53,-90.0718628335744,-73.5006050820741,Antarctica
Samp 54,26.6923065204173,21.8844631052611,Africa
Samp 55,89.5624902192503,-72.7451686009912,Antarctica
Samp 56,132.426920598373,-73.8053368239201,Antarctica
Samp 57,58.3435451053083,31.1874929982733,Asia
Samp 58,-46.5326635167003,-12.4464303429677,South America
Samp 59,47.8532511368394,32.7854267092593,Asia
Samp 60,121.048909826204,48.6233369244197,Asia
Samp 61,41.7261115182191,64.8387112692399,Europe
Samp 62,-92.3812885489315,15.244576736776,North America
Samp 63,-63.7942074704915,-4.18690500619628,South America
Samp 64,34.1979655344039,-13.3830663567462,Africa
Samp 65,137.713431101292,-73.0403327002818,Antarctica
Samp 66,23.0728110484779,-7.6722397705953,Africa
Samp 67,90.1572587527335,-85.8826239637039,Antarctica
Samp 68,-65.9228860773146,2.86057452901363,South America
Samp 69,27.4020066205412,18.2567647205262,Africa
Samp 70,-90.5984030105174,18.1371833170825,North America
Samp 71,171.908866474405,61.7779909368631,Asia
Samp 72,41.6068936977535,-84.9952313320065,Antarctica
Samp 73,131.911785509437,55.1372837004874,Asia
Samp 74,-64.5452295988798,-9.64116704106328,South America
Samp 75,156.161689348519,65.6091310754563,Asia
Samp 76,114.555503837764,-86.1290309519592,Antarctica
Samp 77,55.9810997452587,28.4528457197252,Asia
Samp 78,117.666564630345,-34.6940571628428,Australia
Samp 79,4.99534062109888,-84.3335821403486,Antarctica
Samp 80,38.2868981268257,39.0228121135986,Asia
Samp 81,-64.0703140664846,79.760966960626,North America
Samp 82,76.1922243610024,36.8898182697135,Asia
Samp 83,136.551548782736,-19.5842185246538,Australia
Samp 84,-86.510785035789,30.7045534892611,North America
Samp 85,41.5629069786519,34.0119079573706,Asia
Samp 86,141.407863469794,-26.6461808035391,Australia
Samp 87,18.9248099271208,2.15732973878079,Africa
Samp 88,119.777346784249,47.642816980111,Asia
Samp 89,71.7391754407436,55.4436805437032,Asia
Samp 90,-72.4477026611567,-7.16203864307494,South America
Samp 91,128.252542801201,-21.4384344998913,Australia
